filename,title,artist,album_artist,album,tracknum,genre,year,duration,bitrate,codec,codec_profile,filesize,option1
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\29. ライバル.mp3","ライバル","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","29","Anime","2014",157.28,320,"MP3","CBR",6462049,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\31. ニブンノイチ (アニメVersion).mp3","ニブンノイチ (アニメVersion)","BACK-ON","BACK-ON","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","31","Anime","2014",93.71,320,"MP3","CBR",3919066,""
"file://Z:\\音樂區\\[140514]TVアニメ『ブラック・ブレット』OP主题歌「black bullet」／fripSide[320K+BK]\\MP3\\black bullet.mp3","black bullet","fripSide","fripSide","「ブラック・ブレット」オープニングテーマ『black bullet』","1","","",263.19,320,"MP3","CBR",10532969,""
"file://Z:\\音樂區\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\DISC 1\\04.mp3","merry-go-round","angela","angela","宝箱-TREASURE BOX-","4","","2007",243.00,320,"MP3","CBR",9723904,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\Buddy Complex OPテーマ「UNISONIA／TRUE」01. UNISONIA.mp3","UNISONIA","TRUE","TRUE","UNISONIA","1","Anime","2014",257.45,320,"MP3","CBR",10482712,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\Kill la Kill - OP2「ambiguous／GARNiDELiA」01. ambiguous.mp3","ambiguous","GARNiDELiA","GARNiDELiA","ambiguous","1","Anime","2014",271.25,320,"MP3","CBR",11036838,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」01. wimp ft. Lil\' Fang (from FAKY).mp3","wimp ft. Lil\' Fang (from FAKY)","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","1","Anime","2014",224.03,320,"MP3","CBR",9106541,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」02. Traumatic.mp3","Traumatic","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","2","Anime","2014",199.47,320,"MP3","CBR",8124274,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」04. wimp.mp3","wimp","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","4","Anime","2014",223.82,320,"MP3","CBR",9098104,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\飆速宅男 角色歌2「寒咲幹&橘綾」02. 道しるべ.mp3","道しるべ","橘綾(CV.潘めぐみ)","橘綾(CV.潘めぐみ)","TVアニメ「弱虫ペダル」キャラクターソング CD Vol.2","2","Anime","2013",248.23,320,"MP3","CBR",10043400,""
"file://Z:\\音樂區\\[얼티메이트] [131225] TVアニメ「キルラキル」オリジナルサウンドトラック (FLAC)\\FLAC\\01. Before my body is dry.flac","Before my body is dry","Mika Kobayashi","Mika Kobayashi","TVアニメ「キルラキル」オリジナルサウンドトラック","1","Anime","2013",246.78,971,"FLAC","",29985918,""
"file://Z:\\音樂區\\[얼티메이트] [140806] TVアニメ「アルドノア・ゼロ」OPテーマ「heavenly blue」／Kalafina (FLAC)\\FLAC\\01. heavenly blue.flac","heavenly blue","Kalafina","Kalafina","heavenly blue","1","Anime","2014",321.53,1051,"FLAC","",42325525,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\02. A／Z.flac","A/Z","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","2","Anime","2014",317.44,1013,"FLAC","",40279991,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\03. aLIEz.flac","aLIEz","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","3","Anime","2014",268.48,1065,"FLAC","",35815079,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\04. Keep on keeping on.flac","Keep on keeping on","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","4","Anime","2014",230.99,1049,"FLAC","",30367068,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック (FLAC+BK)\\FLAC\\20. BRE@TH／／LESS.flac","BRE@TH//LESS","MIKA KOBAYASHI","MIKA KOBAYASHI","TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック","20","Anime","2014",241.99,1085,"FLAC","",32882448,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\Disc2\\03.MOBILE SUIT [Live].mp3","MOBILE SUIT [Live]","澤野弘之","澤野弘之","MOBILE SUIT Gundam Unicorn Original SoundTrack 3","3","アニメ","2012-01-01",167.42,320,"MP3","CBR",6769684,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[140521]『機動戦士ガンダム UC』ORIGINAL SOUNDTRACK 4／音楽 澤野弘之[320K]\\CD2\\08. RX-0.mp3","RX-0","Hiroyuki Sawano","Hiroyuki Sawano","MOBILE SUIT GUNDAM UNICORN ORIGINAL SOUNDTRACK 4 DISC 2","08","","2014",173.79,320,"MP3","CBR",6956207,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[얼티메이트] [140521] OVA「機動戦士ガンダムUC episode7」主題歌「StarRingChild」／Aimer (FLAC)\\FLAC\\01. StarRingChild.flac","StarRingChild","Aimer","Aimer","StarRingChild EP","1","Anime","2014",330.52,981,"FLAC","",40637228,""
